Seed,Match outcome,Winner,Loser,Winner score,Loser score,Game points,Deck closed,Closer,Closure points,CockyBot marriages,CockyBot trump exchanges,CockyBot won after closing,Trumps when closing,Non-trumps when closing,Tricks won after closing,RandBot RNG Seed
0,CockyBot beat RandBot,CockyBot,RandBot,66,13,2,False,None,N/A,1,1,False,N/A,N/A,N/A,20000
1,CockyBot beat RandBot,CockyBot,RandBot,73,47,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20001
2,CockyBot beat RandBot,CockyBot,RandBot,66,15,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20002
3,CockyBot beat RandBot,CockyBot,RandBot,74,17,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20003
4,CockyBot beat RandBot,CockyBot,RandBot,77,57,1,False,None,N/A,1,1,False,N/A,N/A,N/A,20004
5,CockyBot beat RandBot,CockyBot,RandBot,35,26,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20005
6,CockyBot beat RandBot,CockyBot,RandBot,77,11,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20006
7,RandBot beat CockyBot,RandBot,CockyBot,75,45,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20007
8,CockyBot beat RandBot,CockyBot,RandBot,79,28,2,False,None,N/A,1,1,False,N/A,N/A,N/A,20008
9,RandBot beat CockyBot,RandBot,CockyBot,70,27,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20009
10,CockyBot beat RandBot,CockyBot,RandBot,75,12,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20010
11,CockyBot beat RandBot,CockyBot,RandBot,71,6,2,False,None,N/A,1,1,False,N/A,N/A,N/A,20011
12,CockyBot beat RandBot,CockyBot,RandBot,72,36,2,True,RandBot,22,2,0,False,N/A,N/A,N/A,20012
13,CockyBot beat RandBot,CockyBot,RandBot,53,0,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20013
14,RandBot beat CockyBot,RandBot,CockyBot,73,47,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20014
15,CockyBot beat RandBot,CockyBot,RandBot,66,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,20015
16,CockyBot beat RandBot,CockyBot,RandBot,68,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,20016
17,CockyBot beat RandBot,CockyBot,RandBot,98,49,1,False,None,N/A,1,0,False,N/A,N/A,N/A,20017
18,CockyBot beat RandBot,CockyBot,RandBot,75,27,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20018
19,CockyBot beat RandBot,CockyBot,RandBot,81,18,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20019
20,CockyBot beat RandBot,CockyBot,RandBot,68,25,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20020
21,CockyBot beat RandBot,CockyBot,RandBot,72,28,2,False,None,N/A,2,0,False,N/A,N/A,N/A,20021
22,RandBot beat CockyBot,RandBot,CockyBot,68,60,1,False,None,N/A,1,0,False,N/A,N/A,N/A,20022
23,CockyBot beat RandBot,CockyBot,RandBot,70,26,2,False,None,N/A,1,1,False,N/A,N/A,N/A,20023
24,CockyBot beat RandBot,CockyBot,RandBot,72,14,2,True,RandBot,14,1,1,False,N/A,N/A,N/A,20024
25,CockyBot beat RandBot,CockyBot,RandBot,72,14,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20025
26,CockyBot beat RandBot,CockyBot,RandBot,86,0,3,False,None,N/A,2,1,False,N/A,N/A,N/A,20026
27,RandBot beat CockyBot,RandBot,CockyBot,73,15,3,True,RandBot,0,1,0,False,N/A,N/A,N/A,20027
28,CockyBot beat RandBot,CockyBot,RandBot,93,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,20028
29,RandBot beat CockyBot,RandBot,CockyBot,68,52,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20029
30,CockyBot beat RandBot,CockyBot,RandBot,73,14,2,False,None,N/A,0,1,False,N/A,N/A,N/A,20030
31,RandBot beat CockyBot,RandBot,CockyBot,69,51,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20031
32,RandBot beat CockyBot,RandBot,CockyBot,68,37,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20032
33,RandBot beat CockyBot,RandBot,CockyBot,12,50,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20033
34,RandBot beat CockyBot,RandBot,CockyBot,54,60,2,True,RandBot,14,0,0,False,N/A,N/A,N/A,20034
35,CockyBot beat RandBot,CockyBot,RandBot,79,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,20035
36,RandBot beat CockyBot,RandBot,CockyBot,74,61,1,True,RandBot,19,1,0,False,N/A,N/A,N/A,20036
37,CockyBot beat RandBot,CockyBot,RandBot,74,22,2,False,None,N/A,0,1,False,N/A,N/A,N/A,20037
38,CockyBot beat RandBot,CockyBot,RandBot,66,0,3,False,None,N/A,0,1,False,N/A,N/A,N/A,20038
39,RandBot beat CockyBot,RandBot,CockyBot,31,49,2,True,RandBot,4,0,0,False,N/A,N/A,N/A,20039
40,RandBot beat CockyBot,RandBot,CockyBot,58,8,3,True,RandBot,13,0,0,False,N/A,N/A,N/A,20040
41,CockyBot beat RandBot,CockyBot,RandBot,39,21,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20041
42,CockyBot beat RandBot,CockyBot,RandBot,71,15,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20042
43,CockyBot beat RandBot,CockyBot,RandBot,108,21,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20043
44,CockyBot beat RandBot,CockyBot,RandBot,68,26,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20044
45,RandBot beat CockyBot,RandBot,CockyBot,31,56,2,True,RandBot,4,0,0,False,N/A,N/A,N/A,20045
46,CockyBot beat RandBot,CockyBot,RandBot,74,28,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20046
47,RandBot beat CockyBot,RandBot,CockyBot,38,13,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20047
48,CockyBot beat RandBot,CockyBot,RandBot,67,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,20048
49,CockyBot beat RandBot,CockyBot,RandBot,68,13,2,False,None,N/A,1,1,False,N/A,N/A,N/A,20049
50,CockyBot beat RandBot,CockyBot,RandBot,106,28,2,False,None,N/A,2,0,False,N/A,N/A,N/A,20050
51,CockyBot beat RandBot,CockyBot,RandBot,92,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,20051
52,CockyBot beat RandBot,CockyBot,RandBot,78,34,1,False,None,N/A,1,1,False,N/A,N/A,N/A,20052
53,RandBot beat CockyBot,RandBot,CockyBot,42,64,2,True,RandBot,15,0,0,False,N/A,N/A,N/A,20053
54,RandBot beat CockyBot,RandBot,CockyBot,68,52,1,False,None,N/A,0,1,False,N/A,N/A,N/A,20054
55,CockyBot beat RandBot,CockyBot,RandBot,26,40,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20055
56,CockyBot beat RandBot,CockyBot,RandBot,73,34,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20056
57,CockyBot beat RandBot,CockyBot,RandBot,68,12,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20057
58,CockyBot beat RandBot,CockyBot,RandBot,92,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,20058
59,CockyBot beat RandBot,CockyBot,RandBot,66,12,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20059
60,RandBot beat CockyBot,RandBot,CockyBot,83,37,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20060
61,CockyBot beat RandBot,CockyBot,RandBot,68,20,3,True,RandBot,20,0,0,False,N/A,N/A,N/A,20061
62,CockyBot beat RandBot,CockyBot,RandBot,74,6,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20062
63,CockyBot beat RandBot,CockyBot,RandBot,71,34,1,False,None,N/A,1,0,False,N/A,N/A,N/A,20063
64,CockyBot beat RandBot,CockyBot,RandBot,66,0,3,False,None,N/A,1,0,False,N/A,N/A,N/A,20064
65,CockyBot beat RandBot,CockyBot,RandBot,75,44,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20065
66,CockyBot beat RandBot,CockyBot,RandBot,78,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,20066
67,CockyBot beat RandBot,CockyBot,RandBot,69,0,3,False,None,N/A,1,0,False,N/A,N/A,N/A,20067
68,CockyBot beat RandBot,CockyBot,RandBot,80,40,1,False,None,N/A,2,0,False,N/A,N/A,N/A,20068
69,CockyBot beat RandBot,CockyBot,RandBot,68,14,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20069
70,CockyBot beat RandBot,CockyBot,RandBot,69,9,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20070
71,CockyBot beat RandBot,CockyBot,RandBot,82,7,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20071
72,CockyBot beat RandBot,CockyBot,RandBot,72,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,20072
73,CockyBot beat RandBot,CockyBot,RandBot,73,40,1,False,None,N/A,1,0,False,N/A,N/A,N/A,20073
74,CockyBot beat RandBot,CockyBot,RandBot,71,27,2,False,None,N/A,1,1,False,N/A,N/A,N/A,20074
75,RandBot beat CockyBot,RandBot,CockyBot,75,44,2,True,RandBot,20,1,0,False,N/A,N/A,N/A,20075
76,CockyBot beat RandBot,CockyBot,RandBot,68,18,2,True,RandBot,18,0,1,False,N/A,N/A,N/A,20076
77,CockyBot beat RandBot,CockyBot,RandBot,74,0,3,False,None,N/A,0,0,False,N/A,N/A,N/A,20077
78,CockyBot beat RandBot,CockyBot,RandBot,0,0,3,True,RandBot,15,1,0,False,N/A,N/A,N/A,20078
79,CockyBot beat RandBot,CockyBot,RandBot,67,0,3,False,None,N/A,1,0,False,N/A,N/A,N/A,20079
80,CockyBot beat RandBot,CockyBot,RandBot,67,5,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20080
81,CockyBot beat RandBot,CockyBot,RandBot,71,49,1,False,None,N/A,1,0,False,N/A,N/A,N/A,20081
82,CockyBot beat RandBot,CockyBot,RandBot,76,24,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20082
83,CockyBot beat RandBot,CockyBot,RandBot,73,14,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20083
84,CockyBot beat RandBot,CockyBot,RandBot,69,5,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20084
85,RandBot beat CockyBot,RandBot,CockyBot,68,34,1,False,None,N/A,0,1,False,N/A,N/A,N/A,20085
86,CockyBot beat RandBot,CockyBot,RandBot,62,39,2,True,RandBot,24,0,0,False,N/A,N/A,N/A,20086
87,CockyBot beat RandBot,CockyBot,RandBot,74,20,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20087
88,CockyBot beat RandBot,CockyBot,RandBot,69,14,2,True,RandBot,14,1,0,False,N/A,N/A,N/A,20088
89,CockyBot beat RandBot,CockyBot,RandBot,67,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,20089
90,RandBot beat CockyBot,RandBot,CockyBot,75,65,1,False,None,N/A,1,0,False,N/A,N/A,N/A,20090
91,CockyBot beat RandBot,CockyBot,RandBot,66,5,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20091
92,CockyBot beat RandBot,CockyBot,RandBot,80,28,2,True,RandBot,28,1,1,False,N/A,N/A,N/A,20092
93,CockyBot beat RandBot,CockyBot,RandBot,72,34,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20093
94,RandBot beat CockyBot,RandBot,CockyBot,48,62,3,True,RandBot,14,1,1,False,N/A,N/A,N/A,20094
95,CockyBot beat RandBot,CockyBot,RandBot,37,54,2,True,RandBot,19,0,0,False,N/A,N/A,N/A,20095
96,CockyBot beat RandBot,CockyBot,RandBot,61,59,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20096
97,CockyBot beat RandBot,CockyBot,RandBot,73,54,1,False,None,N/A,1,1,False,N/A,N/A,N/A,20097
98,CockyBot beat RandBot,CockyBot,RandBot,67,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,20098
99,CockyBot beat RandBot,CockyBot,RandBot,71,14,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20099
100,CockyBot beat RandBot,CockyBot,RandBot,86,14,2,False,None,N/A,2,0,False,N/A,N/A,N/A,20100
101,CockyBot beat RandBot,CockyBot,RandBot,68,7,2,True,RandBot,7,0,0,False,N/A,N/A,N/A,20101
102,CockyBot beat RandBot,CockyBot,RandBot,62,58,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20102
103,RandBot beat CockyBot,RandBot,CockyBot,60,60,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20103
104,CockyBot beat RandBot,CockyBot,RandBot,79,20,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20104
105,CockyBot beat RandBot,CockyBot,RandBot,85,31,2,False,None,N/A,1,1,False,N/A,N/A,N/A,20105
106,CockyBot beat RandBot,CockyBot,RandBot,72,21,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20106
107,RandBot beat CockyBot,RandBot,CockyBot,30,22,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20107
108,CockyBot beat RandBot,CockyBot,RandBot,77,0,3,False,None,N/A,0,1,False,N/A,N/A,N/A,20108
109,CockyBot beat RandBot,CockyBot,RandBot,68,52,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20109
110,CockyBot beat RandBot,CockyBot,RandBot,67,25,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20110
111,CockyBot beat RandBot,CockyBot,RandBot,67,53,1,False,None,N/A,0,1,False,N/A,N/A,N/A,20111
112,CockyBot beat RandBot,CockyBot,RandBot,68,14,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20112
113,CockyBot beat RandBot,CockyBot,RandBot,67,19,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20113
114,RandBot beat CockyBot,RandBot,CockyBot,56,64,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20114
115,RandBot beat CockyBot,RandBot,CockyBot,67,19,2,True,RandBot,4,0,0,False,N/A,N/A,N/A,20115
116,CockyBot beat RandBot,CockyBot,RandBot,92,14,2,False,None,N/A,1,1,False,N/A,N/A,N/A,20116
117,CockyBot beat RandBot,CockyBot,RandBot,72,13,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20117
118,CockyBot beat RandBot,CockyBot,RandBot,71,7,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20118
119,RandBot beat CockyBot,RandBot,CockyBot,68,37,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20119
120,CockyBot beat RandBot,CockyBot,RandBot,75,19,3,True,RandBot,19,0,0,False,N/A,N/A,N/A,20120
121,RandBot beat CockyBot,RandBot,CockyBot,43,25,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20121
122,RandBot beat CockyBot,RandBot,CockyBot,68,31,2,False,None,N/A,0,1,False,N/A,N/A,N/A,20122
123,CockyBot beat RandBot,CockyBot,RandBot,85,38,1,False,None,N/A,1,0,False,N/A,N/A,N/A,20123
124,CockyBot beat RandBot,CockyBot,RandBot,39,42,3,True,RandBot,13,0,0,False,N/A,N/A,N/A,20124
125,RandBot beat CockyBot,RandBot,CockyBot,45,13,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20125
126,RandBot beat CockyBot,RandBot,CockyBot,62,58,1,False,None,N/A,0,1,False,N/A,N/A,N/A,20126
127,CockyBot beat RandBot,CockyBot,RandBot,61,34,2,True,RandBot,6,0,0,False,N/A,N/A,N/A,20127
128,CockyBot beat RandBot,CockyBot,RandBot,72,55,1,False,None,N/A,1,0,False,N/A,N/A,N/A,20128
129,CockyBot beat RandBot,CockyBot,RandBot,75,19,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20129
130,CockyBot beat RandBot,CockyBot,RandBot,36,26,3,True,RandBot,6,0,1,False,N/A,N/A,N/A,20130
131,CockyBot beat RandBot,CockyBot,RandBot,79,41,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20131
132,RandBot beat CockyBot,RandBot,CockyBot,80,27,2,False,None,N/A,0,1,False,N/A,N/A,N/A,20132
133,RandBot beat CockyBot,RandBot,CockyBot,58,62,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20133
134,CockyBot beat RandBot,CockyBot,RandBot,67,13,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20134
135,RandBot beat CockyBot,RandBot,CockyBot,69,31,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20135
136,CockyBot beat RandBot,CockyBot,RandBot,101,15,2,True,RandBot,15,1,1,False,N/A,N/A,N/A,20136
137,RandBot beat CockyBot,RandBot,CockyBot,82,38,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20137
138,CockyBot beat RandBot,CockyBot,RandBot,73,17,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20138
139,RandBot beat CockyBot,RandBot,CockyBot,46,46,2,True,RandBot,13,0,0,False,N/A,N/A,N/A,20139
140,CockyBot beat RandBot,CockyBot,RandBot,72,33,1,False,None,N/A,1,0,False,N/A,N/A,N/A,20140
141,RandBot beat CockyBot,RandBot,CockyBot,64,56,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20141
142,CockyBot beat RandBot,CockyBot,RandBot,67,5,2,True,RandBot,5,0,0,False,N/A,N/A,N/A,20142
143,CockyBot beat RandBot,CockyBot,RandBot,66,0,3,False,None,N/A,1,0,False,N/A,N/A,N/A,20143
144,CockyBot beat RandBot,CockyBot,RandBot,73,0,3,False,None,N/A,1,0,False,N/A,N/A,N/A,20144
145,CockyBot beat RandBot,CockyBot,RandBot,67,26,2,False,None,N/A,0,1,False,N/A,N/A,N/A,20145
146,CockyBot beat RandBot,CockyBot,RandBot,80,13,2,False,None,N/A,0,1,False,N/A,N/A,N/A,20146
147,CockyBot beat RandBot,CockyBot,RandBot,79,6,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20147
148,CockyBot beat RandBot,CockyBot,RandBot,66,13,2,True,RandBot,13,0,1,False,N/A,N/A,N/A,20148
149,RandBot beat CockyBot,RandBot,CockyBot,36,34,2,True,RandBot,6,0,0,False,N/A,N/A,N/A,20149
150,CockyBot beat RandBot,CockyBot,RandBot,74,13,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20150
151,CockyBot beat RandBot,CockyBot,RandBot,64,0,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20151
152,CockyBot beat RandBot,CockyBot,RandBot,59,12,3,True,RandBot,12,0,0,False,N/A,N/A,N/A,20152
153,CockyBot beat RandBot,CockyBot,RandBot,71,20,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20153
154,CockyBot beat RandBot,CockyBot,RandBot,62,58,1,False,None,N/A,0,1,False,N/A,N/A,N/A,20154
155,CockyBot beat RandBot,CockyBot,RandBot,76,48,1,False,None,N/A,1,0,False,N/A,N/A,N/A,20155
156,CockyBot beat RandBot,CockyBot,RandBot,31,35,3,True,RandBot,13,0,0,False,N/A,N/A,N/A,20156
157,RandBot beat CockyBot,RandBot,CockyBot,66,54,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20157
158,CockyBot beat RandBot,CockyBot,RandBot,72,17,2,True,RandBot,17,0,1,False,N/A,N/A,N/A,20158
159,RandBot beat CockyBot,RandBot,CockyBot,27,40,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20159
160,RandBot beat CockyBot,RandBot,CockyBot,68,60,1,True,RandBot,7,1,0,False,N/A,N/A,N/A,20160
161,CockyBot beat RandBot,CockyBot,RandBot,74,4,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20161
162,RandBot beat CockyBot,RandBot,CockyBot,75,40,2,True,RandBot,35,0,1,False,N/A,N/A,N/A,20162
163,CockyBot beat RandBot,CockyBot,RandBot,68,52,1,False,None,N/A,0,1,False,N/A,N/A,N/A,20163
164,CockyBot beat RandBot,CockyBot,RandBot,67,7,2,False,None,N/A,0,1,False,N/A,N/A,N/A,20164
165,CockyBot beat RandBot,CockyBot,RandBot,106,0,3,False,None,N/A,1,0,False,N/A,N/A,N/A,20165
166,CockyBot beat RandBot,CockyBot,RandBot,71,49,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20166
167,CockyBot beat RandBot,CockyBot,RandBot,74,21,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20167
168,CockyBot beat RandBot,CockyBot,RandBot,80,6,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20168
169,CockyBot beat RandBot,CockyBot,RandBot,74,32,2,False,None,N/A,1,0,False,N/A,N/A,N/A,20169
170,CockyBot beat RandBot,CockyBot,RandBot,78,21,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20170
171,RandBot beat CockyBot,RandBot,CockyBot,24,35,3,True,RandBot,0,0,0,False,N/A,N/A,N/A,20171
172,CockyBot beat RandBot,CockyBot,RandBot,63,57,1,False,None,N/A,0,1,False,N/A,N/A,N/A,20172
173,CockyBot beat RandBot,CockyBot,RandBot,67,28,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20173
174,RandBot beat CockyBot,RandBot,CockyBot,83,45,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20174
175,CockyBot beat RandBot,CockyBot,RandBot,69,17,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20175
176,CockyBot beat RandBot,CockyBot,RandBot,67,6,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20176
177,CockyBot beat RandBot,CockyBot,RandBot,73,34,1,False,None,N/A,0,1,False,N/A,N/A,N/A,20177
178,RandBot beat CockyBot,RandBot,CockyBot,73,47,1,False,None,N/A,0,1,False,N/A,N/A,N/A,20178
179,RandBot beat CockyBot,RandBot,CockyBot,68,18,2,True,RandBot,18,0,0,False,N/A,N/A,N/A,20179
180,RandBot beat CockyBot,RandBot,CockyBot,80,40,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20180
181,CockyBot beat RandBot,CockyBot,RandBot,67,25,2,True,RandBot,10,1,0,False,N/A,N/A,N/A,20181
182,CockyBot beat RandBot,CockyBot,RandBot,72,21,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20182
183,CockyBot beat RandBot,CockyBot,RandBot,80,40,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20183
184,CockyBot beat RandBot,CockyBot,RandBot,91,26,2,False,None,N/A,2,0,False,N/A,N/A,N/A,20184
185,CockyBot beat RandBot,CockyBot,RandBot,65,15,3,True,RandBot,0,1,0,False,N/A,N/A,N/A,20185
186,CockyBot beat RandBot,CockyBot,RandBot,67,7,2,False,None,N/A,0,0,False,N/A,N/A,N/A,20186
187,RandBot beat CockyBot,RandBot,CockyBot,67,40,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20187
188,CockyBot beat RandBot,CockyBot,RandBot,75,13,2,True,RandBot,13,1,1,False,N/A,N/A,N/A,20188
189,RandBot beat CockyBot,RandBot,CockyBot,73,46,2,True,RandBot,47,1,0,False,N/A,N/A,N/A,20189
190,RandBot beat CockyBot,RandBot,CockyBot,53,57,3,True,RandBot,12,0,0,False,N/A,N/A,N/A,20190
191,RandBot beat CockyBot,RandBot,CockyBot,56,64,1,False,None,N/A,0,0,False,N/A,N/A,N/A,20191
192,CockyBot beat RandBot,CockyBot,RandBot,67,0,3,False,None,N/A,1,1,False,N/A,N/A,N/A,20192
193,RandBot beat CockyBot,RandBot,CockyBot,39,14,3,True,RandBot,0,1,0,False,N/A,N/A,N/A,20193
194,CockyBot beat RandBot,CockyBot,RandBot,66,0,3,False,None,N/A,0,1,False,N/A,N/A,N/A,20194
195,CockyBot beat RandBot,CockyBot,RandBot,79,0,3,False,None,N/A,0,1,False,N/A,N/A,N/A,20195
196,RandBot beat CockyBot,RandBot,CockyBot,62,58,1,False,None,N/A,0,1,False,N/A,N/A,N/A,20196
197,CockyBot beat RandBot,CockyBot,RandBot,67,20,2,False,None,N/A,0,1,False,N/A,N/A,N/A,20197
